iter	Logloss
0	0.6341137463
1	0.5927470386
2	0.5603410675
3	0.5349399828
4	0.5117835931
5	0.4957130398
6	0.4864726246
7	0.4725791015
8	0.4599679873
9	0.4495527741
10	0.4426879615
11	0.4374795537
12	0.4328555586
13	0.4266361641
14	0.4219384551
15	0.4181325008
16	0.4158232492
17	0.4125502104
18	0.4085466855
19	0.4058142076
20	0.4034780422
21	0.4004206733
22	0.3982901655
23	0.3964697344
24	0.395400217
25	0.3938563826
26	0.3920408004
27	0.3905755759
28	0.3883094043
29	0.3867608481
30	0.385050653
31	0.3825232505
32	0.3810808986
33	0.3789183236
34	0.3784469686
35	0.3774736235
36	0.3763628902
37	0.375406792
38	0.3744658199
39	0.3732441665
40	0.372307276
41	0.3712530418
42	0.3702676204
43	0.3693046557
44	0.3686493825
45	0.3681113236
46	0.3658528341
47	0.3645927316
48	0.3641611892
49	0.3635623097
50	0.3627550089
51	0.3619695727
52	0.3612190477
53	0.3607133962
54	0.3600727948
55	0.3593915061
56	0.3590554876
57	0.3584626896
58	0.3569673652
59	0.3557118631
60	0.3553356505
61	0.3549863034
62	0.3526724171
63	0.3516771743
64	0.3509352751
65	0.3503995711
66	0.3499617747
67	0.3493274449
68	0.3486449487
69	0.3471694177
70	0.3467033459
71	0.3459349798
72	0.3454090505
73	0.3450771504
74	0.3441563113
75	0.3438639918
76	0.3432986926
77	0.3429443986
78	0.3427078886
79	0.342416888
80	0.3415167066
81	0.3412365096
82	0.3409105312
83	0.3405731493
84	0.3402848853
85	0.3400980994
86	0.3396497338
87	0.3393082488
88	0.3388577712
89	0.3386899223
90	0.3381363077
91	0.337708512
92	0.33740791
93	0.3371850933
94	0.3365107902
95	0.335944677
96	0.3353472147
97	0.3346799736
98	0.3343687227
99	0.3341130539
