iter	Passed	Remaining
0	145	14410
1	150	7367
2	154	4990
3	158	3803
4	162	3086
5	167	2622
6	172	2288
7	177	2039
8	183	1853
9	187	1688
10	191	1552
11	196	1440
12	200	1343
13	205	1262
14	210	1191
15	214	1125
16	218	1066
17	221	1009
18	227	967
19	231	925
20	234	883
21	238	846
22	241	809
23	245	776
24	248	745
25	252	717
26	255	691
27	259	668
28	264	648
29	270	630
30	275	613
31	281	597
32	286	581
33	291	565
34	295	549
35	301	536
36	307	523
37	313	510
38	317	497
39	322	484
40	328	472
41	333	460
42	339	449
43	343	437
44	348	426
45	353	414
46	359	405
47	363	394
48	368	383
49	372	372
50	378	363
51	382	353
52	389	345
53	394	335
54	399	327
55	404	318
56	409	309
57	415	300
58	422	293
59	428	285
60	435	278
61	440	269
62	445	261
63	449	252
64	454	244
65	459	236
66	464	228
67	468	220
68	473	212
69	477	204
70	482	197
71	488	189
72	493	182
73	497	174
74	502	167
75	507	160
76	511	152
77	517	146
78	522	138
79	527	131
80	534	125
81	540	118
82	546	111
83	550	104
84	555	98
85	561	91
86	566	84
87	571	77
88	577	71
89	583	64
90	588	58
91	595	51
92	600	45
93	605	38
94	609	32
95	615	25
96	620	19
97	624	12
98	629	6
99	634	0
